,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Fast_MA,Slow_MA,Signal,Profit/Loss,Balance,In_Trade,Position,Entry_Price,Trade_Type
0,2021-01-01 00:00:00+05:30,1382.3692116076652,1385.2491474651813,1363.7456029587506,1368.017578125,4405469,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
1,2021-01-04 00:00:00+05:30,1380.4492413364562,1380.4492413364562,1343.010075542213,1359.3297119140625,7870096,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
2,2021-01-05 00:00:00+05:30,1362.401479402867,1373.4892782698407,1352.6097452959677,1369.601318359375,7193412,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
3,2021-01-06 00:00:00+05:30,1377.5691522646532,1382.3690447812548,1356.5455996049632,1363.697509765625,11067025,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
4,2021-01-07 00:00:00+05:30,1375.1693545120118,1375.2653289357331,1356.017828176533,1359.5697021484375,9947421,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
5,2021-01-08 00:00:00+05:30,1374.6893626295257,1384.2891486814078,1366.145529606373,1374.3533935546875,6884382,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
6,2021-01-11 00:00:00+05:30,1391.9689177999035,1406.2726218404791,1378.8172583470578,1393.36083984375,8665696,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
7,2021-01-12 00:00:00+05:30,1394.320836257363,1428.160081071559,1391.104931463771,1421.728271484375,10194078,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
8,2021-01-13 00:00:00+05:30,1433.1520032436842,1436.991917450414,1403.5846169779124,1411.79248046875,8467325,0.0,0.0,HDFCBANK.NS,,,Hold,0.0,10000.0,0,0.0,0.0,
9,2021-01-14 00:00:00+05:30,1412.2726001033682,1428.4482167553192,1397.7289002659575,1409.9686279296875,6148583,0.0,0.0,HDFCBANK.NS,1383.141943359375,,Hold,0.0,10000.0,0,0.0,0.0,
10,2021-01-15 00:00:00+05:30,1410.304537414113,1412.7525297173584,1387.1690765977985,1407.95263671875,7082618,0.0,0.0,HDFCBANK.NS,1387.13544921875,,Hold,0.0,10000.0,0,0.0,0.0,
11,2021-01-18 00:00:00+05:30,1411.0725918314583,1442.7038403712027,1408.288630406628,1423.7442626953125,21412816,0.0,0.0,HDFCBANK.NS,1393.576904296875,,Hold,0.0,10000.0,0,0.0,0.0,
12,2021-01-19 00:00:00+05:30,1432.0961463465092,1451.1516984387779,1408.288629793696,1443.663818359375,8680127,0.0,0.0,HDFCBANK.NS,1400.983154296875,,Hold,0.0,10000.0,0,0.0,0.0,
