Stock Symbol,Strategy Name,Trade Type,Trade Entry Time,Trade Exit Time,Entry Price,Exit Price,Reason for Exit,Profit/Loss
INFY.NS,rsi_strategy,Buy,2022-04-25 00:00:00+05:30,2022-04-27 00:00:00+05:30,1463.5028076171875,1455.721923828125,Trailing Stop Loss,-43.20331176466104
INFY.NS,rsi_strategy,Buy,2022-04-28 00:00:00+05:30,2022-05-02 00:00:00+05:30,1483.6588134765625,1444.6595458984375,Trailing Stop Loss,-212.46575597556676
INFY.NS,rsi_strategy,Buy,2022-05-04 00:00:00+05:30,2022-05-06 00:00:00+05:30,1439.5501708984375,1446.393798828125,Trailing Stop Loss,37.416019933855715
INFY.NS,rsi_strategy,Buy,2022-05-19 00:00:00+05:30,2022-05-24 00:00:00+05:30,1337.9273681640625,1350.911376953125,Trailing Stop Loss,76.74215890901138
INFY.NS,rsi_strategy,Buy,2022-05-25 00:00:00+05:30,2022-06-01 00:00:00+05:30,1322.271240234375,1400.79345703125,Trailing Stop Loss,474.15907919788253
INFY.NS,rsi_strategy,Buy,2022-06-17 00:00:00+05:30,2022-06-29 00:00:00+05:30,1314.342041015625,1386.2979736328125,Trailing Stop Loss,463.0883231439887
INFY.NS,rsi_strategy,Sell,2022-07-06 00:00:00+05:30,2022-07-08 00:00:00+05:30,1413.2044677734375,1434.805419921875,Trailing Stop Loss,-136.370899589299
INFY.NS,rsi_strategy,Sell,2022-08-03 00:00:00+05:30,2022-08-04 00:00:00+05:30,1483.7391357421875,1515.76171875,Trailing Stop Loss,-189.6108285153872
INFY.NS,rsi_strategy,Sell,2022-08-05 00:00:00+05:30,2022-08-11 00:00:00+05:30,1531.630859375,1534.7572021484375,Trailing Stop Loss,-17.545715744322465
INFY.NS,rsi_strategy,Sell,2022-08-17 00:00:00+05:30,2022-08-29 00:00:00+05:30,1521.7777099609375,1384.8768310546875,Signal,771.7137543005034
INFY.NS,rsi_strategy,Buy,2022-08-30 00:00:00+05:30,2022-09-01 00:00:00+05:30,1414.43603515625,1387.1978759765625,Trailing Stop Loss,-180.05562125891723
INFY.NS,rsi_strategy,Buy,2022-09-02 00:00:00+05:30,2022-09-14 00:00:00+05:30,1376.5870361328125,1397.8089599609375,Trailing Stop Loss,141.36712378940993
INFY.NS,rsi_strategy,Buy,2022-09-29 00:00:00+05:30,2022-10-03 00:00:00+05:30,1325.09521484375,1320.4530029296875,Trailing Stop Loss,-32.620406359352
INFY.NS,rsi_strategy,Sell,2022-10-07 00:00:00+05:30,2022-10-14 00:00:00+05:30,1374.8817138671875,1396.7193603515625,Trailing Stop Loss,-147.37636784479898
INFY.NS,rsi_strategy,Sell,2022-10-17 00:00:00+05:30,2022-10-20 00:00:00+05:30,1411.59375,1421.9678955078125,Trailing Stop Loss,-67.10835101194637
INFY.NS,rsi_strategy,Sell,2022-10-24 00:00:00+05:30,2022-10-27 00:00:00+05:30,1438.026611328125,1459.5845947265625,Trailing Stop Loss,-135.88504028138036
INFY.NS,rsi_strategy,Sell,2022-11-01 00:00:00+05:30,2022-11-11 00:00:00+05:30,1506.5628662109375,1503.785400390625,Trailing Stop Loss,16.460079896975515
INFY.NS,rsi_strategy,Sell,2022-11-25 00:00:00+05:30,2022-12-01 00:00:00+05:30,1566.5667724609375,1587.1107177734375,Trailing Stop Loss,-117.30197722489834
INFY.NS,rsi_strategy,Buy,2022-12-19 00:00:00+05:30,2022-12-23 00:00:00+05:30,1443.685546875,1433.86865234375,Trailing Stop Loss,-60.02593046092781
INFY.NS,rsi_strategy,Buy,2022-12-26 00:00:00+05:30,2023-01-04 00:00:00+05:30,1438.94482421875,1431.6658935546875,Trailing Stop Loss,-44.3504046758547
INFY.NS,rsi_strategy,Sell,2023-02-01 00:00:00+05:30,2023-02-02 00:00:00+05:30,1485.587890625,1516.85888671875,Trailing Stop Loss,-183.6179134385709
INFY.NS,rsi_strategy,Sell,2023-02-03 00:00:00+05:30,2023-02-08 00:00:00+05:30,1531.8477783203125,1523.3238525390625,Trailing Stop Loss,47.517811508401756
INFY.NS,rsi_strategy,Buy,2023-02-28 00:00:00+05:30,2023-03-02 00:00:00+05:30,1424.721923828125,1409.9725341796875,Trailing Stop Loss,-88.89682387767243
INFY.NS,rsi_strategy,Buy,2023-03-03 00:00:00+05:30,2023-03-09 00:00:00+05:30,1416.820556640625,1417.8740234375,Trailing Stop Loss,6.31871622087296
